iter	RMSE
0	684.3915083
1	672.2298292
2	661.958949
3	652.5710852
4	644.807526
5	638.3115502
6	633.0812815
7	628.9920477
8	625.5980917
9	622.0022883
10	619.1678269
11	616.3699543
12	614.4170102
13	612.5757119
14	611.2205324
15	609.9486805
16	608.4129421
17	607.4165543
18	606.36808
19	605.6521422
20	604.5850754
21	603.7278348
22	602.3673643
23	601.4847571
24	600.3521027
25	599.6051499
26	598.6916288
27	597.9681495
28	597.1574949
29	596.2439366
30	595.7418199
31	595.0000732
32	594.5957514
33	593.9673679
34	593.0650321
35	592.5525836
36	591.7173631
37	591.0773205
38	590.2977471
39	589.6983118
40	589.237058
41	588.8230729
42	588.3881244
43	588.0716516
44	587.7899797
45	587.3569351
46	587.0451294
47	586.296851
48	585.8891188
49	585.1445207
50	584.7956125
51	584.3275547
52	583.9809935
53	583.6493719
54	582.9792456
55	582.5661803
56	582.1375193
57	582.0103955
58	581.8086393
59	581.4596076
60	581.0295709
61	580.5487143
62	580.0381146
63	579.5753615
64	579.2612974
65	579.0575681
66	578.8966521
67	578.5479364
68	578.1943705
69	577.7478524
70	577.2155721
71	576.6987938
72	576.5085223
73	576.1816457
74	575.6416586
75	575.4668661
76	574.9763921
77	574.3834506
78	574.2222625
79	574.0788799
80	573.6923893
81	573.3069125
82	573.1250712
83	572.8386881
84	572.3143693
85	572.1576788
86	571.8877463
87	571.6411811
88	571.4343993
89	570.9891296
90	570.5656294
91	570.2682364
92	569.9946
93	569.8114878
94	569.4627615
95	569.0912282
96	568.6407362
97	568.1633303
98	567.9523875
99	567.7749751
