iter	Passed	Remaining
0	150	14850
1	159	7794
2	165	5338
3	170	4083
4	179	3410
5	184	2896
6	191	2544
7	195	2253
8	200	2025
9	210	1891
10	214	1738
11	219	1613
12	223	1496
13	227	1396
14	231	1312
15	235	1236
16	239	1168
17	242	1105
18	247	1056
19	252	1009
20	257	966
21	262	930
22	267	894
23	271	860
24	277	832
25	281	800
26	284	769
27	289	743
28	292	717
29	296	692
30	300	668
31	304	647
32	308	625
33	311	605
34	315	585
35	320	569
36	327	557
37	333	543
38	337	528
39	343	515
40	354	509
41	360	497
42	365	484
43	369	470
44	375	458
45	380	446
46	383	432
47	387	419
48	391	407
49	395	395
50	398	383
51	403	372
52	407	361
53	410	349
54	414	339
55	419	329
56	422	318
57	426	308
58	429	298
59	433	289
60	437	279
61	441	270
62	444	261
63	450	253
64	454	244
65	459	236
66	465	229
67	469	220
68	473	212
69	477	204
70	481	196
71	484	188
72	487	180
73	493	173
74	499	166
75	504	159
76	508	151
77	516	145
78	527	140
79	532	133
80	539	126
81	544	119
82	547	112
83	551	105
84	555	97
85	559	91
86	563	84
87	568	77
88	571	70
89	574	63
90	578	57
91	582	50
92	585	44
93	589	37
94	594	31
95	597	24
96	601	18
97	604	12
98	608	6
99	612	0
